               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.030824,            0.013852,                   0,             0.81797,             0.89881,              0.8598,             0.35524,            0.023733,           0.0056444,                   0,           0.0012139,           0.0012139,            0.025114
                 127,            0.027145,            0.013408,                   0,             0.81807,             0.89939,             0.85908,             0.31449,             0.02547,           0.0058321,                   0,           0.0011884,           0.0011884,            0.024488
                 128,            0.028611,            0.014936,                   0,             0.81816,             0.89991,             0.86619,             0.29204,            0.025954,            0.006072,                   0,           0.0011637,           0.0011637,            0.023864
                 129,            0.028985,            0.013877,                   0,             0.81768,                 0.9,              0.8662,             0.29138,            0.026339,           0.0061345,                   0,           0.0011398,           0.0011398,             0.02324
                 130,            0.027059,            0.014528,                   0,             0.81818,             0.89999,             0.86623,             0.30731,             0.02433,           0.0059952,                   0,           0.0011168,           0.0011168,            0.022617
                 131,            0.027306,            0.014439,                   0,             0.72725,                 0.8,              0.7116,             0.25404,            0.026593,           0.0060039,                   0,           0.0010947,           0.0010947,            0.021995
                 132,            0.025484,            0.013718,                   0,             0.81815,                 0.9,             0.85923,             0.28461,            0.024789,           0.0060534,                   0,           0.0010736,           0.0010736,            0.021374
                 133,            0.027874,              0.0133,                   0,             0.81814,                 0.9,             0.86636,             0.26327,            0.026387,           0.0061656,                   0,           0.0010534,           0.0010534,            0.020753
                 134,            0.024168,            0.011467,                   0,              0.8179,                 0.9,              0.8664,             0.30912,            0.026006,            0.006328,                   0,           0.0010343,           0.0010343,            0.020134
                 135,            0.027014,            0.011211,                   0,             0.81815,                 0.9,             0.85943,             0.30625,            0.025478,           0.0064662,                   0,           0.0010163,           0.0010163,            0.019516
                 136,            0.027115,            0.014334,                   0,             0.81812,                 0.9,             0.86641,             0.31171,            0.026881,           0.0063515,                   0,          0.00099945,          0.00099945,            0.018899
                 137,            0.026763,            0.014242,                   0,             0.72721,                 0.8,             0.68958,             0.28632,            0.027916,           0.0062001,                   0,          0.00098375,          0.00098375,            0.018284
                 138,              0.0279,            0.011601,                   0,             0.81796,                 0.9,             0.86642,             0.31748,            0.024782,           0.0059174,                   0,          0.00096927,          0.00096927,            0.017669
                 139,            0.027287,            0.012255,                   0,             0.79991,             0.79962,             0.71334,             0.29706,            0.027266,           0.0060885,                   0,          0.00095606,          0.00095606,            0.017056
                 140,            0.025903,            0.014021,                   0,             0.89994,             0.89948,              0.8757,             0.27722,            0.025414,           0.0062612,                   0,          0.00094415,          0.00094415,            0.016444
                 141,            0.027887,            0.012937,                   0,             0.89994,             0.89949,             0.87565,             0.29064,            0.026913,           0.0064187,                   0,          0.00093358,          0.00093358,            0.015834
                 142,            0.027856,            0.014528,                   0,             0.81792,                 0.9,              0.8664,             0.31034,            0.024908,           0.0063668,                   0,          0.00092441,          0.00092441,            0.015224
                 143,            0.028189,            0.012453,                   0,             0.81788,                 0.9,             0.86645,             0.29642,            0.027203,            0.006349,                   0,          0.00091667,          0.00091667,            0.014617
                 144,            0.027901,            0.014776,                   0,              0.8181,             0.89955,             0.86646,             0.26218,            0.027916,           0.0062672,                   0,           0.0009104,           0.0009104,             0.01401
                 145,            0.025724,            0.013675,                   0,             0.81814,             0.89974,             0.86649,             0.28894,            0.028173,           0.0062026,                   0,          0.00090564,          0.00090564,            0.013406
                 146,            0.029058,            0.011561,                   0,              0.8181,             0.89955,             0.86645,             0.29358,            0.029474,           0.0060525,                   0,          0.00090243,          0.00090243,            0.012802
                 147,            0.025454,            0.013052,                   0,             0.81817,             0.89993,             0.86649,             0.29332,            0.025134,           0.0059339,                   0,          0.00090081,          0.00090081,            0.012201
                 148,            0.029154,            0.013886,                   0,             0.81787,                 0.9,             0.86659,             0.31956,            0.029384,           0.0063537,                   0,          0.00090082,          0.00090082,            0.011601
                 149,            0.027338,            0.013163,                   0,             0.69208,                 0.9,             0.77282,             0.28445,            0.026857,           0.0064549,                   0,           0.0009025,           0.0009025,            0.011003
                 150,            0.029218,            0.015271,                   0,             0.81812,             0.89966,             0.86667,             0.28128,            0.027844,           0.0068084,                   0,          0.00090588,          0.00090588,            0.010406
