               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.036362,            0.019036,                   0,             0.85665,                 0.6,             0.61169,             0.17567,            0.033851,           0.0070536,                   0,           0.0018778,           0.0018778,            0.038978
                 105,            0.035917,            0.018138,                   0,             0.87499,             0.69997,             0.71768,              0.2076,            0.034958,           0.0069827,                   0,           0.0018467,           0.0018467,            0.038347
                 106,            0.032609,            0.016862,                   0,             0.85637,                 0.6,             0.66551,             0.20479,            0.033143,            0.007012,                   0,           0.0018155,           0.0018155,            0.037716
                 107,             0.03621,            0.018048,                   0,             0.66641,             0.59938,             0.59292,             0.19339,            0.032846,           0.0068657,                   0,           0.0017841,           0.0017841,            0.037084
                 108,             0.03636,            0.015981,                   0,             0.63566,                 0.7,             0.60541,             0.20822,            0.033151,            0.006705,                   0,           0.0017526,           0.0017526,            0.036453
                 109,            0.036469,            0.017962,                   0,             0.59952,                 0.6,             0.50758,             0.22012,             0.03049,           0.0067486,                   0,           0.0017209,           0.0017209,            0.035821
                 110,             0.03551,            0.016183,                   0,             0.59997,                 0.6,              0.4882,             0.19466,            0.031765,           0.0066297,                   0,           0.0016893,           0.0016893,            0.035189
                 111,            0.037519,            0.014944,                   0,             0.69953,                 0.7,             0.60097,             0.17594,            0.034174,            0.006653,                   0,           0.0016576,           0.0016576,            0.034558
                 112,            0.033462,            0.015896,                   0,             0.63635,                 0.7,             0.58236,             0.14819,            0.035909,           0.0063294,                   0,            0.001626,            0.001626,            0.033926
                 113,            0.032263,            0.017627,                   0,             0.63622,                 0.7,             0.58442,             0.18272,            0.034074,           0.0064175,                   0,           0.0015945,           0.0015945,            0.033295
                 114,            0.032877,            0.017668,                   0,              0.6363,             0.69984,             0.55979,             0.17347,            0.034574,           0.0065172,                   0,           0.0015632,           0.0015632,            0.032663
                 115,            0.034058,             0.01773,                   0,             0.77764,             0.69951,             0.61719,             0.15089,            0.033235,           0.0069288,                   0,            0.001532,            0.001532,            0.032032
                 116,            0.034925,            0.016402,                   0,             0.74896,                 0.6,             0.57778,             0.13125,            0.032266,           0.0068671,                   0,            0.001501,            0.001501,            0.031401
                 117,            0.032652,            0.017935,                   0,              0.6993,                 0.7,             0.57557,             0.15071,            0.034498,           0.0068333,                   0,           0.0014703,           0.0014703,             0.03077
